sku_id,taxonomy_id,taxonomy_name,,,,,,,,,,,,,,,,,,
43424,44ee3c0c-1992-b476-c87c-3a1909ddbf03,NƯỚC SÚC MIỆNG CHO BÉ,,,,,,,,,,,,,,,,,,
16784,703c34c6-4fbe-45ea-982b-c0e4d194c9e7,BETA LACTAM,,,,,,,,,,,,,,,,,,
32644,3642f74c-f610-4e60-847d-6d8aa6e2cd3f,DẠ DÀY - TÁ TRÀNG,,,,,,,,,,,,,,,,,,
42709,7dfae42c-80ce-8739-a713-3a1909c43c38,GEL NGẬM,,,,,,,,,,,,,,,,,,
43251,e9f33f28-0289-aafe-a841-3a1909bf7ee7,DƯỠNG ẨM TOÀN THÂN,,,,,,,,,,,,,,,,,,
35707,d6dbeddb-a9be-4456-a83a-0b6b2f221e9f,TRẦM CẢM,,,,,,,,,,,,,,,,,,
3012,86281cf5-78b4-a70c-2b33-3a1909e184f9,TẮM GỘI,,,,,,,,,,,,,,,,,,
45409,df3567fa-c5a0-434e-9f9d-e96131f13ae5,UNG THƯ,,,,,,,,,,,,,,,,,,
14867,9dc86501-b40b-4599-8f26-3a1909b52585,CHỐNG THÂM QUẦNG,,,,,,,,,,,,,,,,,,
18841,703c34c6-4fbe-45ea-982b-c0e4d194c9e7,BETA LACTAM,,,,,,,,,,,,,,,,,,
13893,e11f35ff-b985-a8ad-1d7d-3a1909da5b9e,MỤN,,,,,,,,,,,,,,,,,,
16053,bd577672-d2a0-4762-bc2a-080678c3d26f,TRÀ VÀ BỘT PHA NƯỚC,,,,,,,,,,,,,,,,,,
2674,2111a9c4-c14c-4936-a939-be6eb4aaf8db,KẸO CAO SU,,,,,,,,,,,,,,,,,,
3104,c444f3bc-c8fa-4493-b99e-cb481a536bd7,KẸO CỨNG,,,,,,,,,,,,,,,,,,
19400,2d302181-447c-4ad4-9d57-ba5aff4876b6,DỊ ỨNG NGỨA,,,,,,,,,,,,,,,,,,
40653,39c24ad6-6b0f-4413-a140-9bb7d336ebe4,SỞI – QUAI BỊ – RUBELLA,,,,,,,,,,,,,,,,,,
42887,c4ae904a-c1d4-e515-2620-3a1909ba43f4,DDVS PHỤ NỮ,,,,,,,,,,,,,,,,,,
32736,fc28ebda-db20-48a6-9553-c371623ebf41,HÔ HẤP XOANG CẢM CÚM,,,,,,,,,,,,,,,,,,
32658,f82b4e51-951c-4c38-b630-52befb142d91,MẮT,,,,,,,,,,,,,,,,,,
30790,e9f33f28-0289-aafe-a841-3a1909bf7ee7,DƯỠNG ẨM TOÀN THÂN,,,,,,,,,,,,,,,,,,
33910,b8a1f38f-872b-40ba-ad11-fb88130cae1b,LAO,,,,,,,,,,,,,,,,,,
43211,1e70d6a5-9b9b-0ae8-9ad9-3a190a1e1e62,DẦU GỘI NHUỘM,,,,,,,,,,,,,,,,,,
44950,7e64fa69-85c0-406d-b92e-dc6865815c96,Viêm Gan C,,,,,,,,,,,,,,,,,,
44804,288106ec-f334-4858-8869-4bea3824f6d1,Nồng độ thuốc,,,,,,,,,,,,,,,,,,
42716,36b946c5-eaf5-f7de-017d-3a1909dc1086,NGỪA LÃO HÓA,,,,,,,,,,,,,,,,,,
2783,226da885-db96-4dcb-9a60-38ec904cad85,TIÊU HÓA,,,,,,,,,,,,,,,,,,
11853,c67c9163-d9a6-74c8-1d95-3a1909bdc061,DƯỠNG ẨM MẶT,,,,,,,,,,,,,,,,,,
693,e11f35ff-b985-a8ad-1d7d-3a1909da5b9e,MỤN,,,,,,,,,,,,,,,,,,
15025,c4ae904a-c1d4-e515-2620-3a1909ba43f4,DDVS PHỤ NỮ,,,,,,,,,,,,,,,,,,
21699,c89527af-4fa4-4250-b4e9-5fdc823b0a26,KHÁC,,,,,,,,,,,,,,,,,,
19062,66d520c8-0233-4138-89e9-121b2a5b7f2e,DẠ DÀY VIÊN,,,,,,,,,,,,,,,,,,
12979,66d520c8-0233-4138-89e9-121b2a5b7f2e,DẠ DÀY VIÊN,,,,,,,,,,,,,,,,,,
17139,7206aadb-c2e9-481b-985f-821380b1ac16,MẸ VÀ BÉ,,,,,,,,,,,,,,,,,,
171,d78ffe24-9084-4d7b-bc18-cd646dd86e3a,TIM MẠCH,,,,,,,,,,,,,,,,,,
4001,c89527af-4fa4-4250-b4e9-5fdc823b0a26,KHÁC,,,,,,,,,,,,,,,,,,
3862,747afa89-dd09-4a91-b247-c2b8364ebd7d,RĂNG MIỆNG,,,,,,,,,,,,,,,,,,
21407,e9f33f28-0289-aafe-a841-3a1909bf7ee7,DƯỠNG ẨM TOÀN THÂN,,,,,,,,,,,,,,,,,,
21172,18e207e6-62a7-4adc-b659-d20bd8071e9b,DẠ DÀY GÓI,,,,,,,,,,,,,,,,,,
40670,a1ae934d-851a-4394-8391-2c7ed7e04711,VIÊM GAN A,,,,,,,,,,,,,,,,,,
42883,e9f33f28-0289-aafe-a841-3a1909bf7ee7,DƯỠNG ẨM TOÀN THÂN,,,,,,,,,,,,,,,,,,
22164,c89527af-4fa4-4250-b4e9-5fdc823b0a26,KHÁC,,,,,,,,,,,,,,,,,,
32821,c89527af-4fa4-4250-b4e9-5fdc823b0a26,KHÁC,,,,,,,,,,,,,,,,,,
32793,81c7491e-2f36-4a55-9e26-59fa24908515,BỔ SUNG VITAMIN,,,,,,,,,,,,,,,,,,
32369,87bf31ab-c600-43ce-8246-5ab74e792a4a,THẦN KINH NÃO,,,,,,,,,,,,,,,,,,
32685,96a84708-e79e-47fb-b38a-5f95f6455709,CHĂM SÓC DA DẦU DA MỤN,,,,,,,,,,,,,,,,,,
32678,c89527af-4fa4-4250-b4e9-5fdc823b0a26,KHÁC,,,,,,,,,,,,,,,,,,
41394,e11f35ff-b985-a8ad-1d7d-3a1909da5b9e,MỤN,,,,,,,,,,,,,,,,,,
43374,86d1bbe2-e415-4da1-4927-3a1909b7f630,DẦU GỘI TRỊ GÀU,,,,,,,,,,,,,,,,,,
44914,e13d598f-950d-4221-8a0b-b8dbf23bbdda,Lupus,,,,,,,,,,,,,,,,,,
44858,73088404-6014-492c-82a8-817f69f592b4,Tuyến yên,,,,,,,,,,,,,,,,,,
44293,226da885-db96-4dcb-9a60-38ec904cad85,TIÊU HÓA,,,,,,,,,,,,,,,,,,
21661,c67c9163-d9a6-74c8-1d95-3a1909bdc061,DƯỠNG ẨM MẶT,,,,,,,,,,,,,,,,,,
13496,9fde8af9-8109-412b-808f-1a73c8fead23,CHĂM SÓC DA,,,,,,,,,,,,,,,,,,
15104,0c4998dc-5fd4-40e3-bf14-41f9260735ee,QUINOLOL,,,,,,,,,,,,,,,,,,
11521,a717a565-963d-4256-93a3-8a2cd006d51c,HÀNG HÓA HÀNH CHÍNH,,,,,,,,,,,,,,,,,,
17219,7206aadb-c2e9-481b-985f-821380b1ac16,MẸ VÀ BÉ,,,,,,,,,,,,,,,,,,
15672,2111a9c4-c14c-4936-a939-be6eb4aaf8db,KẸO CAO SU,,,,,,,,,,,,,,,,,,
5067,7206aadb-c2e9-481b-985f-821380b1ac16,MẸ VÀ BÉ,,,,,,,,,,,,,,,,,,
10954,b2fde648-3738-4a77-97f8-a10756ec370d,PHỤ KHOA,,,,,,,,,,,,,,,,,,
3.19E+04,f11f8e97-aa4f-48f2-3cae-3a1909e04181,RỬA MẶT,,,,,,,,,,,,,,,,,,
21384,1880311b-e95a-e98d-b715-3a190984508c,CHỐNG NẮNG TOÀN THÂN,,,,,,,,,,,,,,,,,,
18339,703c34c6-4fbe-45ea-982b-c0e4d194c9e7,BETA LACTAM,,,,,,,,,,,,,,,,,,
19992,66d520c8-0233-4138-89e9-121b2a5b7f2e,DẠ DÀY VIÊN,,,,,,,,,,,,,,,,,,
20869,fdba87ca-02f1-4174-b973-17f36709637e,TINH DẦU,,,,,,,,,,,,,,,,,,
42582,49acfb3b-e9dc-4931-a976-69d90575115c,DẦU XẢ,,,,,,,,,,,,,,,,,,
42904,e52fd26c-95a0-4a8a-be58-49d68ff01200,DẦU GỘI,,,,,,,,,,,,,,,,,,
34281,371c386a-ce04-4e40-8a1b-a97bbba94f82,VIÊM GAN B,,,,,,,,,,,,,,,,,,
30629,f11f8e97-aa4f-48f2-3cae-3a1909e04181,RỬA MẶT,,,,,,,,,,,,,,,,,,
32812,c89527af-4fa4-4250-b4e9-5fdc823b0a26,KHÁC,,,,,,,,,,,,,,,,,,
32798,3642f74c-f610-4e60-847d-6d8aa6e2cd3f,DẠ DÀY - TÁ TRÀNG,,,,,,,,,,,,,,,,,,
31349,c67c9163-d9a6-74c8-1d95-3a1909bdc061,DƯỠNG ẨM MẶT,,,,,,,,,,,,,,,,,,
38575,f11f8e97-aa4f-48f2-3cae-3a1909e04181,RỬA MẶT,,,,,,,,,,,,,,,,,,
40704,83f9c4b3-4f65-ad88-d360-3a0fe5d7a64a,UỐN VÁN,,,,,,,,,,,,,,,,,,
44850,f8da803a-fecf-3bb8-dddb-3a1d3b4c233e,ĐÔNG MÁU,,,,,,,,,,,,,,,,,,
45791,86281cf5-78b4-a70c-2b33-3a1909e184f9,TẮM GỘI,,,,,,,,,,,,,,,,,,
3692,0b019f22-ffe0-e4fc-f1cb-3a1909c581d2,HĂM - RÔM SẢY,,,,,,,,,,,,,,,,,,
1258,7b00bce1-78da-d125-065c-3a1909d06c62,KEM BÔI NÚM VÚ,,,,,,,,,,,,,,,,,,
12270,bd577672-d2a0-4762-bc2a-080678c3d26f,TRÀ VÀ BỘT PHA NƯỚC,,,,,,,,,,,,,,,,,,
