id,unique_id,name,level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e91aa881-6195-4509-bae3-51e3776bd8a8,1106,DÁN SAY TÀU XE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b2f727f-2dc6-4cf4-9ce7-47e942bc2d94,1027,GIẢM CÂN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58c21e0e-ba6f-434d-82cd-4364c9c42c42,895,THUỐC TIÊM CHÍCH,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a47b149-d06c-aabe-55d5-3a14fdee14fa,3939,"Sởi, Rubella",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8e9721c3-3310-4340-8303-e6bb5097be1d,867,KIM CÁC LOẠI,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b75f4e72-e354-0307-2411-3a1eaf661824,4001,CHỨC NĂNG TIM MẠCH,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d31604b5-59e2-dfd4-a7a0-3a1d47bc1048,3992,TIÊU HÓA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e7c542d3-7c89-4f20-bd88-948d08bfb2c0,1044,CAI RƯỢU,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0960582c-c254-4e2e-a428-d442c9148cd5,874,DUNG DỊCH VỆ SINH PHỤ NỮ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c1a4ddc-910e-4669-ba32-5d94e2b63e69,810,THUỐC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bd4bc795-7971-a116-74ed-3a1d47babc60,3988,NỘI TIẾT - HOCMON,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f51853c8-4854-441c-b84c-beb0cc167f87,3810,CHĂM SÓC RĂNG MIỆNG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2e5d3f50-214a-4c95-bf99-f9397286e61d,3833,"BAO BÌ, ĐÓNG GÓI",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ae3bf3da-68d7-47d6-8d3f-f5b525232dd5,958,SIRO BỔ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1eaba56-8188-efe3-da33-3a18fe12bbbb,3949,CHĂM SÓC XƯƠNG KHỚP,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6de69ca8-b037-4bc9-150f-3a201293ca6d,4007,TAY CHÂN MIỆNG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba320ab6-3e36-46ff-972f-1b0627aa403b,851,THUỐC TRỊ GOUT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bc3fa51c-c977-4520-a626-1d80f08e6543,1084,DẦU GIÓ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ec07f5e-d199-4cd0-9090-4b95876116ba,819,CỤC DƯỢC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61cb1c11-3f4c-3415-d609-3a1d47bb584c,3989,BỆNH DI TRUYỀN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19f87ea1-b939-7b4a-64a6-3a12d479e3fa,3928,ZONA THẦN KINH,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240186d4-0246-4272-b2de-b3d52e8eecd8,3863,THUỐC BỔ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97f46f5b-0ea2-4357-9e1c-0c8dc14816b3,914,THUỐC LỢI TIỂU,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f7c667db-5a21-44f4-9f4c-84f431359e8a,905,THUỐC CHỐNG UNG THƯ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02dd7072-9eb7-489d-a171-49aedc128f4e,906,THUỐC KHÁNG VIRUS,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47fd29e1-7ed1-4e84-bc9f-90cab92ae54d,1059,VITAMIN - ĐỀ KHÁNG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915ec876-679e-4dbc-3437-3a1e5cceed59,3999,Virus hợp bào hô hấp - RSV,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c9e3a1bc-ff2e-48aa-88cf-9c1eebde6b41,1017,ĐỒ BẢO HỘ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21410726-cc4d-459a-afec-38e63ec11ae2,1032,TRẺ EM - ĂN NGON NGỦ NGON,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4279ce87-4d23-490c-90c0-c723c7a6f2e8,817,KHÁC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15751378-feba-4b87-bc83-56d462093361,1061,MANG THAI,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c8d26af1-8f93-6118-569f-3a1d47ba80dd,3987,TỰ MIỄN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4952714-bd46-45c6-96d0-f53a7796ed5e,3795,MÁY ĐO ĐƯỜNG HUYẾT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4164ed00-7472-4641-a526-e6f741a2a781,957,THUỐC CẦM MÁU,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14f0feca-03c7-435f-bfb7-93e614f3bfac,821,HÀNG TIÊU DÙNG NHANH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3f3ff5b1-7993-4521-9ac2-70861b075db1,1099,SIRO TIÊU HÓA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c07043f1-d89b-4c11-b1c6-5b837feffca3,1010,NHỎ MẮT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25812c9e-94b5-4a28-9887-ba271b577db1,1096,THUỐC BÔI RĂNG MIỆNG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3a273a8e-a0ac-4c13-b62b-64961657075d,815,HÀNG CHỜ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596e7cc1-a80a-4961-b84c-c1d65dc554e3,3898,VIÊM MÀNG NÃO MÔ CẦU ACYW,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d17e6a72-8075-40f7-a011-bfc72b0e66cf,3894,"UỐN VÁN, BẠCH HẦU HẤP PHỤ (Td)",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97d184f5-ad96-4a86-b7d4-b57b34e7b961,968,CHĂM SÓC TÓC - DA ĐẦU,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c712f4a2-5084-4785-959c-91af4327a794,1095,SIRO HEN SUYỄN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ffca7c69-95a0-4839-b7b1-9cc4a9e451c7,1079,ĐỒ DÙNG GIA ĐÌNH,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ed0440b-4925-4206-b1a9-afe03b9ae8e3,1035,TRĨ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206abb96-07a4-0fca-fe18-3a1d37157800,3961,TỔNG QUÁT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59d1ebd3-5af7-464d-bfae-51cd34597fb3,999,RỐI LOẠN TIỀN ĐÌNH,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b8a1f38f-872b-40ba-ad11-fb88130cae1b,3885,LAO,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd29873b-f8fa-4327-8c7e-9960e0a5b19d,1031,ĐẠI TRÀNG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26678460-0cd3-70c2-e38a-3a132837691c,3930,PHỤ KIỆN MÁY,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5bb1a7ea-bc37-33f5-37c0-3a0fe60cdc35,3910,BỆNH DO HIB,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25a00703-f904-4481-a2bc-ff58d8d35329,987,THUỐC TRỊ THIẾU MÁU,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74948c83-5e7d-4306-98b9-0e832ccc8786,962,KHÁC,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737331d1-7dde-4c38-9240-a64518ea74ec,997,ĐAU RĂNG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8125f0d9-888b-475d-8345-8b3d2d914456,1060,TRẺ EM - TĂNG CHIỀU CAO,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e57dd07b-4430-6783-3480-3a1d47ba3808,3986,SỨC KHỎE THAI KỲ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18793a28-5ef5-425d-8b1c-0c603de86b90,1033,TRẺ EM - ĐỀ KHÁNG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247398db-0025-4553-86e2-b54ac8448833,1047,VIÊM DA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25118285-1d6a-4f43-9ca7-db92220c980a,889,THUỐC THẦN KINH,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2584b2c-62ad-40e7-a257-24681125cbd0,1029,GOUT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52e7bf99-cc87-905b-5068-3a1dfe735ae4,3995,TUYẾN GIÁP,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f770a6db-8722-4892-9792-bb1b25566232,888,THUỐC TRỊ TÁO BÓN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c7e23cd-82d8-44d7-b22c-e2bdaf92f795,898,THUỐC TRỊ TIỂU ĐƯỜNG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9732530e-c22e-4ab6-b3b2-89d59f68f035,936,MẸ VÀ BÉ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e9870523-8953-39e6-9d50-3a1d47b8c159,3983,CƠ XƯƠNG KHỚP,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023f509e-c443-49f0-8d5b-419bfb99b256,990,THUỐC TÊ BÔI,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acecc327-d545-4970-8a0e-0db332b1f8db,1071,CHĂM SÓC TÓC - DA ĐẦU,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bac55474-974b-257f-cb70-3a1d47b6c2bf,3981,ĐIỆN GIẢI ĐỒ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e8ce1a28-8060-413c-a9a2-17e026a3694e,970,CHỐNG NẮNG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425825b-cc1a-a279-478b-3a18fe125477,3947,CHĂM SÓC VẾT THƯƠNG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7d3a39dd-0390-40b6-b4f8-5d6b3517cd73,3859,SỮA RỬA MẶT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99f2e79a-fbda-48d7-a091-4c07c0c1d316,3715,ĐIỀU TRỊ UNG THƯ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6382842f-2614-4846-9bd0-36d71ea26f06,1009,NƯỚC NGÂM KÍNH,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8b48476b-2a56-415c-9974-ab98e00ca2ad,1039,NỘI TIẾT TỐ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daa3d58f-7266-403a-bfa2-737eb7bd2350,995,NHIỆT MIỆNG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3fdcfedf-7b5c-44de-b230-11e07608c2a3,827,THUỐC CHỐNG ĐÔNG MÁU,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40d67d46-a955-491a-8746-d280f01ce2e3,1064,CHĂM SÓC CÁ NHÂN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00c5dc92-22b1-4338-927a-33da5bc3b4fd,975,TPCN ĐẶC TRỊ BỆNH,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a650c42d-72ac-47ce-8b14-57f28dafa2b9,967,CHĂM SÓC CƠ THỂ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d03c9b7a-1ba3-467d-a2c0-c3a102417cbe,1081,THUỐC XÔNG XỊT HEN SUYỄN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cea16012-72b4-4105-9fed-e9d955e480c0,1028,MẮT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6331d6de-429c-43d5-a56d-ebf2b64d03a0,3884,HUYẾT THANH UỐN VÁN SAT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d9dcc9c-ae73-44d1-aece-333d261ab067,1100,THUỐC TRỊ CƯỜNG GIÁP,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61c694b6-bda5-66d0-cadd-3a1b43dbb0e6,3955,HÔ HẤP,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2069f820-c29c-61c3-1d4c-3a1dfe72eaab,3994,TIỂU ĐƯỜNG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de4346fd-111f-dc74-36f6-3a0fe6200f99,3915,4 TRONG 1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e0135eba-e7da-4290-e6f5-3a18fe1289a3,3948,CHĂM SÓC VÙNG KÍN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7d564b8c-0827-4d41-b552-ee3d3248f231,893,THUỐC TRA MẮT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54e208ad-3a2f-455b-98d9-519c89ea850e,1113,MIẾNG DÁN GIẢM ĐAU,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcc482f1-28ab-438f-8c3b-eb70b1a8be17,1052,ĐẸP DA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494cd3d-62d5-4551-97fd-67d95d8adeb2,3868,XÔNG XỊT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e323ae4d-9947-4eb3-81c6-2e394f02043e,1037,TĨNH MẠCH,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28278bd5-aa14-4845-a73c-6d95d9be112a,1089,DUNG DỊCH SÚC MIỆNG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c50f1a2b-0d33-4c2f-bcf9-3da05e480de0,847,THUỐC GIẢM ĐAU HẠ SỐT,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225b43ad-f917-4ba9-9122-79b48baa90ed,897,THUỐC TRỊ TIÊU CHẢY,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a8d7a8ac-c28c-481f-afbf-c115e13be24a,870,THUỐC NGỪA THAI,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5bf8cae-bbdb-4ffb-adce-84a46a3f521d,812,DƯỢC MỸ PHẨM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c737726-57a0-4b63-bcdd-010edaa3dfcc,992,THUỐC TRỊ BỆNH THẬN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23f1ec7b-ee90-47ea-b084-c8bd3900bf6c,1003,DỊ ỨNG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c9e3f2e3-6d70-278e-091b-3a1328490a81,3931,MÁY MÁT XA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d42941c6-ce50-490d-a91d-40768a30af0d,859,KHÁC,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
