code,confirm_status,creation_by,creation_time,eng_name,product_id,is_active,is_delete,last_modification_by,last_modification_time,name,name_ascii,note,question,reason,ref_code,short_name,type,upc_code,upc_id,industry_code,industry_name,replace_product,tenant_code,d
1279,Approved,,49:57.4,,22026,TRUE,FALSE,,45:51.2,BIOACIMIN-FIBER MERACINE 30 GÓI,BIOACIMIN-FIBER MERACINE 30 GÓI,,,,B121600001279,BIOACIMIN-FIBER MERACINE 30 GÓI,Normal,7.82848E+11,22026,7,TPCN,,,3/1/2025
1280,Approved,,49:54.7,,22019,TRUE,FALSE,,45:51.2,BIO ACIMIN GOLD MERACINE 30 GÓI,BIO ACIMIN GOLD MERACINE 30 GÓI,,,,B121600001280,BIO ACIMIN GOLD MERACINE 30 GÓI,Normal,7.82848E+11,22019,7,TPCN,,,3/1/2025
1282,Approved,,02:52.2,,22638,FALSE,FALSE,,02:52.2,BIOCID,,,,,A121600001282,BIOCID,Normal,7.82848E+11,22638,3,THUỐC,,,3/1/2025
1283,Approved,,02:52.3,,22639,FALSE,FALSE,,02:52.3,BIOCID 100ML,,,,,A121600001283,BIOCID 100ML,Normal,7.82848E+11,22639,3,THUỐC,,,3/1/2025
1290,Approved,,21:23.3,,1.82E+04,TRUE,FALSE,,37:42.6,BIOLAC BIOPHARCO 10X10,BIOLAC BIOPHARCO 10X10,,,,A121600001290,BIOLAC 10X10,Normal,7.82848E+11,18197,3,THUỐC,,,3/1/2025
1295,Approved,,02:55.5,,22643,FALSE,FALSE,,02:55.5,BIOLACTYL.,,,,,A121600001295,BIOLACTYL.,Normal,7.82848E+11,22643,3,THUỐC,,,3/1/2025
1299,Approved,,02:56.3,,22645,FALSE,FALSE,,02:56.3,BIO-OMEGA 3,,,,,A121600001299,BIO-OMEGA 3,Normal,7.82848E+11,22645,3,THUỐC,,,3/1/2025
1301,Approved,,02:56.6,,22647,FALSE,FALSE,,02:56.6,BIO-ONE OMEGA 3,,,,,A121600001301,BIO-ONE OMEGA 3,Normal,7.82848E+11,22647,3,THUỐC,,,3/1/2025
1303,Approved,,21:24.7,,18201,FALSE,FALSE,,50:51.7,Biosaline 20ml,Biosaline 20ml,,,,A121600001303,BIOSALINE 20ML,Normal,7.82848E+11,18201,3,THUỐC,,,3/1/2025
1306,Approved,,21:25.0,,18202,FALSE,FALSE,,05:57.6,BIOSUBTYL DL 450MG DAVAC 25 GÓI,,,,,A121600001306,BIOSUBTYL DL 450 DAVAC 25 GÓI,Normal,7.82848E+11,18202,3,THUỐC,['00001308' '00001309'],,3/1/2025
