regimen_detail_id,regimen_id,vaccine_id,from_age,to_age,age_unit_code,age_unit,from_age_number,to_age_number,schedule_type,required_injections,max_injections,unit,regimen_detail_note,dosage,nearest_injection_distance,max_distance,min_distance,is_pregnant_regimen,is_required,note,created_at,modified_at,etl_date,etl_by,record_checksum,primary_checksum
380f8092-8ac4-4f1f-998a-0abad74736ea,bf4f4641-890e-44e7-9fae-8dd0cf13ab7e,678391be-ff09-4b83-8ead-f1a4e3d1562d,> 10 tu?i,,3,Age,10,1000,Trên 10 tu?i - Suy gi?m mi?n d?ch,4,NaN,ml,None,2,30,30,28,FALSE,TRUE,None,12/9/2023,NaT,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,24d294751a331302415e06929e19b934,097ca59b0de84e4b12774ea1b71f58bb
382454b0-22ba-49ee-8fd8-13d3a5d2c648,7a0d233b-0e22-45f3-9a62-2c9b101044dd,d6d60800-8212-4c75-9825-953e8eb84354,6 tu?n tu?i,< 7 tháng tu?i,1,Week,6,30,T? 6 tu?n - d??i 7 tháng tu?i P? 2+1,3,3,ml,None,0.5,0,0,0,FALSE,TRUE,None,2/6/2026,2/6/2026,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,535022bbd04dd727757095fbe9894cb8,a49309ed13a3f6f3089ff7faff3f2d5c
398d0a33-af59-492a-b3ec-d0a7498317c0,dd06f3cc-ec1d-41c5-bb7b-484a9bf091db,b046a06e-cfc1-4327-9bfe-8efd07372dbd,12 tháng tu?i,< 24 tháng tu?i,2,Month,12,24,T? 12 tháng - d??i 24 tháng,3,3,ml,,0.5,NaN,360,358,FALSE,TRUE,None,6/1/2024,NaT,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,1ef250e8fe2a94bf5cc3d75d51441eb8,ee2ec99ae80f8bc8764a65f86768402b
3a189507-3135-4967-8e74-8de855dcfa74,63e81036-f67d-4892-9fb2-7fb56286075a,5279d7bb-8916-46dd-91a1-53838bee091d,>= 2 tháng,1000 tu?i,1,Week,8,52143,Booster,1,NaN,ml,None,0.5,0,0,0,FALSE,TRUE,None,7/4/2024,NaT,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,33dc11b264a9a0798303f954e49347da,3eff9049c5d802d6bc9fe1cb8ab776cf
3a4f341d-d3c4-4aef-8163-2709f9c42dd4,475dd82c-4baf-4659-8151-17b16b59c1bb,6f904daa-8647-406b-9470-b1faf043c2d1,1 tu?i,< 13,2,Month,12,12000,T? 1 - d??i 13 tu?i,2,2,ml,None,0.5,NaN,90,88,FALSE,FALSE,None,8/17/2023,8/22/2024,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,78690e6f761a03b42209cbf9e592e951,5dd10046db940433979dad1cefda2670
3a6f7b8c-9d0e-1f2a-3b4c-5d6e7f8a9b0c,401f9529-8ae0-4e0c-a74a-10f3dcc492fb,6095081d-1991-4abd-ad81-ae6c94b10b18,6 tu?n tu?i,< 6 tháng tu?i,1,Week,6,26,T? 6 tu?n - d??i 6 tháng tu?i,4,4,ml,,0.5,NaN,60,58,FALSE,TRUE,None,11/8/2025,11/10/2025,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,29874e5f18075a7bed80a70850065c4e,4cd2fe56e0069eaa72be154770464204
3b145844-5c69-4f4f-880e-b5faadce2ff8,b86bde02-9680-42d2-a0ee-3d8cf7bb76fd,c7c2847b-44d5-4f22-a6ca-f60eda429687,7 tu?i,,3,Age,7,1000,T? 7 tu?i - ch?a tiêm BH-UV,3,NaN,ml,None,0.5,NaN,3600,3598,FALSE,FALSE,None,8/17/2023,12/9/2023,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,0dddc262070b05377f5bff31235856ab,31f6c4036977e203133baba42ceeab6b
3b9f7ee6-8075-46ac-8329-ea17ce6326a6,e1c3f187-7298-4666-a0e9-42f79e75bbe4,cd542041-0791-4943-bef1-47fc343e388b,,10 tu?i,1,Week,0,522,T? 10 tu?i tr? xu?ng - Nguy c? cao,4,NaN,ml,None,0.5,NaN,300,298,FALSE,TRUE,None,8/17/2023,1/3/2025,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,f5b0492b9c4e171f8d58c341d81d2eff,52871923ebd61015503cb8749ab7032f
3c429dba-9853-4f09-be78-868d90771042,d78d43b3-65d4-4452-a438-5d73f4bfa2ef,5279d7bb-8916-46dd-91a1-53838bee091d,2 tháng tu?i,,1,Week,8,52143,T? 2 tháng - ch?a tiêm UV,3,NaN,ml,None,0.5,30,30,28,FALSE,TRUE,None,8/17/2023,12/9/2023,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,3ddd24ca11ebdf9ba46860efed1a1e28,ba3646600badd571082d51c15b8e25cd
3c88b273-3422-4b71-8bff-23b15517074a,55c47c6b-4c0b-4510-b474-833c7c631b6e,5708d1a5-28ee-43a4-9374-23b8f6799c7c,9 tháng tu?i,None,2,Month,9,12000,Booster,1,NaN,ml,None,0.5,0,0,0,FALSE,TRUE,None,7/4/2024,NaT,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,d8e580865c5d5a8b2cfa2643bf5d32ad,b3335dc08255eb81b6e90d1a7a92c458
3ca1b4cf-dee8-4e4a-bb2c-b68c9e050cc1,32db77e9-fe93-4c9d-a0af-cf0a66426f35,f44a0269-f87c-4ea8-ba37-be5e01fc012e,>= 20 tu?i,,3,Age,20,1000,T? tròn 20 tu?i tr? lên - Nguy c? cao,4,NaN,ml,,1,30,30,28,FALSE,TRUE,None,4/11/2025,NaT,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,5039734eb19e73ea926521c40201c5b2,4598b05505d0ed0a7e46b09b82d22f2d
3ec20ca5-e360-459d-9876-46bb985d7a3e,30e6039a-2994-4949-95a6-05b5764789fb,e428b854-cd7e-40da-b10f-58ed7ab66a67,7 tu?i,,3,Age,7,1000,T? 7 tu?i - ch?a tiêm BH-UV,3,NaN,ml,None,0.5,NaN,180,178,FALSE,TRUE,None,10/16/2024,10/16/2024,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,71ffa90aa6b8a88f2f78f703c1c1e350,2caad2ef3377f8fd3dd5e2c994c28800
3ef1695a-f66a-447e-9b8a-38f1fd510eaa,aef31f15-060c-46a6-93cd-5cbda35500e5,5279d7bb-8916-46dd-91a1-53838bee091d,7 tu?i,,3,Age,7,1000,T? 7 tu?i,3,NaN,ml,None,0.5,0,0,0,FALSE,TRUE,None,12/9/2023,4/24/2025,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,af0c7de554010f8861fca667d34f7b7d,ba74abdf207aa3d41f2c0818ea5ae29a
